Date,Country,Description
10/10/2015,Turkey,Two explosions killed more than 100 people who had gathered for a peace rally in Turkey's capital. Turkish officials believe ISIS is responsible.  More »
10/6/2015,Yemen,A series of bombings in Yemen's two largest cities killed at least 25 people.  More »
10/3/2015,Bangladesh,ISIS claimed responsibilty for the shooting death of a Japanese man riding a rickshaw. More »
9/28/2015,Bangladesh,ISIS claimed responsiblity for the shooting death of an Italian aid worker. More »
9/24/2015,Yemen,"At least 25 people were killed when two bombs went off outside a mosque during prayers to commemorate Eid al-Adha, a major Muslim holiday. More »"
9/18/2015,Libya,Militants loyal to the Islamic State attacked a prison inside a Tripoli air base. More »
9/17/2015,Germany,An Iraqi man was shot dead after he stabbed a policewoman in Berlin. 
9/2/2015,Yemen,Yemen's ISIS affiliate claimed responsibility for two bombings at a mosque that killed at least 20 people. More »
8/26/2015,Egypt,The Sinai Province of the Islamic State group claimed responsibility for three gunmen who shot and killed two police officers. 
8/21/2015,France,"A gunman opened fire aboard a packed high-speed train traveling from Amsterdam to Paris, wounding several passengers before he was tackled and subdued by three Americans.  "
8/20/2015,Egypt,An ISIS affiliate claimed responsibility for bombing a branch of the Egyptian security agency. More »
8/12/2015,Egypt,"An ISIS affiliate said it had beheaded a Croatian expatriate worker because of Croatia's ""participation in the war against the Islamic State."" More »"
8/7/2015,Saudi Arabia,"ISIS claimed responsibility for a suicide bombing at a mosque that killed at least 15 people, including 12 members of a Saudi police force. More »"
7/20/2015,Turkey,A Turkish citizen believed to have had ties to ISIS killed at least 32 people at a cultural center. More »
7/16/2015,Egypt,"In what appeared to be the first attack on a naval vessel claimed by Sinai Province, the ISIS affiliate said it destroyed an Egyptian naval vessel and posted photographs on social media of a missile exploding in a ball of fire as it slammed into the vessel. More »"
7/11/2015,Egypt,ISIS claimed responsibility for an explosion outside the Italian Consulate’s compound in downtown Cairo that killed one person. More »
7/1/2015,Egypt,Militants affiliated with the Islamic State killed dozens of soldiers in simultaneous attacks on Egyptian Army checkpoints and other security installations in Egypt's northern Sinai Peninsula. More »
6/26/2015,Tunisia,"At least one gunman disguised as a vacationer attacked a Mediterranean resort, killing at least 38 people at a beachfront hotel — most of them British tourists — before he was shot to death by the security forces. More »"
6/26/2015,Kuwait,A suicide bomber detonated explosives at one of the largest Shiite mosques in Kuwait City during Friday Prayer. More »
6/17/2015,Yemen,"An ISIS branch claimed responsibilty for a series of car bombings in Sana, the capital, that killed at least 30 people. More »"
6/9/2015,Egypt,ISIS's Sinai province claimed responsibility for firing rockets toward an air base used by an international peacekeeping force.  
6/5/2015,Turkey,An explosion at a political rally in the predominantly Kurdish city of Diyarbakir killed two people and wounded more than 100. Turkish officials have said ISIS was behind the attack. More »
6/3/2015,Afghanistan,ISIS is suspected of beheading 10 members of the Taliban. More »
5/31/2015,Libya,A suicide bomber from an ISIS affiliate killed at least four Libyan fighters at a checkpoint. More »
5/29/2015,Saudi Arabia,"One week after a similar attack in the same region, a suicide bomber dressed in women’s clothing detonated an explosive belt near the entrance to a Shiite mosque, killing three people. More »"
5/22/2015,Yemen,ISIS claimed responsibility for a bomb attack on a Shiite mosque that injured at least 13 worshipers. 
5/22/2015,Saudi Arabia,"In what appeared to be ISIS's first official claim of an attack in Saudi Arabia, a suicide bomber detonated an explosive at a Shiite mosque during midday prayer, killing at least 21 and injuring 120. More »"
5/18/2015,Turkey,"A bomb detonated at the pro-Kurdish Peoples’ Democratic Party, or H.D.P. "
5/18/2015,Turkey,"Militants detonated a bomb at office of the pro-Kurdish Peoples’ Democratic Party, or H.D.P. "
5/3/2015,Texas,"Two men who reportedly supported ISIS and were later acknowledged by ISIS as ""soldiers of the caliphate"" opened fire in a Dallas suburb outside a Prophet Muhammad cartoon contest. More »"
4/30/2015,Yemen,One of ISIS's Yemen affiliates released a video showing the killing of 15 Yemeni soldiers. 
4/27/2015,Bosnia and Herzegovina,A gunman attacked a police station. 
4/19/2015,Libya,"ISIS released a video of militants from two of its Libya affiliates killing dozens of Ethiopian Christians, some by beheading and others by shooting. "
4/12/2015,Libya,ISIS's Tripoli affiliate claimed credit for a bomb that exploded outside the Moroccan Embassy. 
4/12/2015,Egypt,ISIS militants killed at least 12 people in three separate attacks on Egyptian security forces. More »
4/12/2015,Libya,ISIS's Tripoli affiliate claimed responsibility for an attack on the South Korean Embassy that killed two local police officers.  More »
4/8/2015,Saudi Arabia,"Gunmen opened fire on a police patrol, killing two officers. "
4/5/2015,Libya,ISIS killed at least four people in an attack on a security checkpoint. 
4/4/2015,Afghanistan,The Afghan vice president accused ISIS of kidnapping 31 civilians in February. 
4/2/2015,Egypt,An ISIS affiliate in the Sinai Peninsula killed 13 people with simultaneous car bombs at military checkpoints. More »
4/1/2015,Turkey,Militants killed a Syrian teacher in Turkey. 
3/20/2015,Yemen,An ISIS affiliate claimed responsibility for coordinated suicide strikes on Zaydi Shiite mosques that killed more than 130 people during Friday Prayer. More »
3/18/2015,Tunisia,"ISIS claimed responsibility for an attack on a museum that killed 22 people, almost all European tourists. More »"
2/20/2015,Libya,ISIS's Derna affiliate claimed responsibility for three car bombs that killed at least 40 people. More »
2/15/2015,Libya,ISIS released a video that appeared to show its militants in Libya beheading a group of Egyptian Christians who had been kidnapped in January. More »
2/15/2015,Denmark,"A Danish-born gunman who was inspired by ISIS went on a violent rampage in Copenhagen, killing two strangers and wounding five police officers. More »"
2/3/2015,Libya,"ISIS militants were suspected of killing 12 people, including four foreigners, in an attack on an oil field. More »"
1/29/2015,Egypt,"ISIS's Sinai affiliate claimed responsibility for coordinated bombings that killed 24 soldiers, six police officers and 14 civilians. More »"
1/27/2015,Libya,ISIS's Tripoli affiliate claimed credit for an armed assault on a luxury hotel that killed at least eight people. It was the deadliest attack on Western interests in Libya since the assault on the American diplomatic mission in Benghazi. More »
1/23/2015,Lebanon,ISIS attacked an outpost of the Lebanese Armed Forces. 
1/16/2015,Bosnia and Herzegovina,An attacker killed an imam at a mosque.  
1/12/2015,Libya,ISIS's Tripoli affiliate said they were holding 21 Egyptian Christians captive. More »
1/11/2015,France,"A video surfaced of Amedy Coulibaly, the shooter at the supermarket in an attack that coincided with the attack on Charlie Hebdo, declaring allegiance to ISIS. More »"
1/6/2015,Turkey,Suicide bomber injured two people at a police station. 
12/22/2014,France,A van plowed into an outdoor Christmas market in Nantes. More »
12/21/2014,France,"A French citizen of Algerian and Moroccan descent drove into pedestrians in Dijon, wounding 13 people. More »"
12/15/2014,Australia,A gunman who said he was acting on ISIS's behalf seized 17 hostages in a Sydney cafe. Two of the hostages died. More »
11/22/2014,Saudi Arabia,A Danish executive was shot in his car. A group of ISIS supporters later claimed responsibility. 
10/23/2014,New York,"A hatchet-wielding man charged at four police officers in Queens. ISIS said the attack was the “direct result"" of its September call to action. More »"
10/22/2014,Canada,"An Islamic convert shot and killed a soldier who was guarding the National War Memorial in Ottawa, stormed Canada's parliament and fired multiple times before being shot and killed. More »"
10/20/2014,Canada,"A 25-year-old man who had recently adopted radical Islam ran over two soldiers near Montreal, killing one. More »"
9/24/2014,Algeria,Militants kidnapped and beheaded a French tourist shortly after the Islamic State called on supporters around the world to harm Europeans in retaliation for airstrikes in Iraq and Syria. More »
9/23/2014,Australia,An 18-year-old ISIS sympathizer was shot dead after stabbing two counterterrorism officers outside a Melbourne police station. More »
